ENGLISH SENTENCES	ARABIC SENTENCES	BANGLA SENTENCES	CHINESE SENTENCES	FRENCH SENTENCES	HATIAN CREOLE SENTENCE	MALAY SENTENCES	B_PORTUGUESE SENTENCES	RUSSIAN SENTENCES	SPANISH SENTENCES	SWAHILI  SENTENCES	TAMIL SENTENCES	THAI SENTENCES	URDU SENTENCE
The sand was very course.	كـان الـرمـلُ خـشـنًـا جـدًا.	বালি খুব কার্যকর ছিল	这沙子很粗硬。	Le sable était très cours.	sab la te byen asire.	Pasirnya sangat lancar.	A areia era muito claro.	Песок был очень ровным.	La arena estaba muy gruesa.	Siwezi hata kwenda, ingawa nataka	நான் கணிதத்தில் பாடம் எடுத்தேன்.	ฉันไปไม่ได้แม้ว่าฉันต้องการ	ریت بہت روشن تھی۔
I can’t go even though I want to.	لا يُـمـكـنـنـي الـذهـاب عـلـى الـرغـم أنـي أودُ ذلـك.	আমি এটার মধ্যে দিয়ে যেতে পারবো না যদিও আমি চাই	即使我想去，也不能去。	Je ne peux pas y aller même si je le veux.	Mwen pa ka ale menm si m' ta vle.	Saya tidak boleh pergi walaupun saya mahu	Não posso ir mesmo que eu queira.	Я не могу пойти, хотя и хочу.	Aunque quiera, no puedo ir.	Nilikimbia kutoka nje ya nyumba	நான் போக வேண்டும் என்று விரும்பினாலும் என்னால் முடியாது.	ฉันวิ่งผ่านบ้าน	میں چاہنے کے باوجود نہیں جا سکتا۔
I ran through the house.	لـقـد ركـضـتُ فى المـنـزل.	আমি ঘরের মধ্যে দিয়ে দৌড়ে চলে গেলাম	我跑过那栋房子。	J'ai couru à travers la maison.	Mwen te kouri atravè kay la.	Saya berlari melalui rumah.	Eu corri pela casa.	Я пробежал по дому.	Yo corrí por toda la casa.	Nilidhani ilikua starehe	நான் வீட்டினுள் ஓடினேன்.	ฉันคิดว่ามันสนุก	میں گھر سے بھاگا۔
I thought it was fun.	أعـتـقـدُ أن هـذا أمـرٌ مـضـحـك.	আমি চিন্তা করেছি এটা মজার ছিল	我当时觉得很有趣。	Je pensais que c'était amusant.	Mwen te panse l' te enteresan	Saya fikir ia menyeronokkan.	Achei divertido.	Я думал, это было весело.	Me pareció divertido.	Nimeleta chakula	நான் இது வேடிக்கையாக இருக்கும் என நினைத்தேன்.	ฉันนำอาหารมา	میں نے سوچا کہ یہ مذاق ہے۔
I brought food.	لـقـد جـلـبـتُ الـطـعـام.	আমি খাবার এনেছি	我带来了食物。	J'ai apporté de la nourriture.	Mwen te achte manje.	Saya membawa makanan.	Eu trouxe comida.	Я принесла еду.	Compré comida.	Sijaleta cha kutosha	நான் உணவு கொண்டு வந்தேன்.	ฉันไม่ได้นำมาพอ	میں کھانا لایا / لائی۔
I did not bring enough.	لـم أجـلُـبْ بـمـا يـكـفـي. / لـم أجـلُـبْ بـمـا فـيـهِ الـكـفـايـة.	আমি যথেষ্ট আনি নি	我每带够。	Je n'en ai pas apporté assez.	Mwen pa te pote ase.	Saya tidak membawa cukup.	Eu não trouxe o suficiente.	Я не принес достаточно.	No traje lo suficiente.	Nilianguka chini	நான் போதுமான அளவு கொண்டு வரவில்லை.	ฉันล้มลง	میں کافی نہیں لایا۔
I fell down.	لـقـد سـقـطـت للأسـفـل.	আমি পড়ে গেলাম	我摔倒了。	Je suis tombé.	Mwen tonbe.	Saya terjatuh.	Eu caí.	Я упал вниз.	Me caí.	Naishi kwenye mji mdogo	நான் கீழே விழுந்தேன்.	ฉันอาศัยอยู่ในเมืองเล็ก ๆ	میں نیچے گر گیا / گئی۔
I live in a small town.	إنـنـي أعـيـشُ فـى مـديـنـةٍ صـغـيـرة.	আমি একটি ছোট শহরে বাস করি	我住在一个小城。	J'habite dans une petite ville.	M'ap viv nan yon ti vil.	Saya tinggal di sebuah bandar kecil.	Eu moro em uma cidade pequena.	Я живу в маленьком городе.	Vivo en un pueblito.	Fungua mlango	நான் ஒரு சிறிய நகரத்தில் வாழ்கிறேன்.	เปิดประตู	میں ایک چھوٹے سے قصبے میں رہتا ہوں۔
Open the door.	إفـتـح الـبـاب.	দরজা খুলো	把门打开。	Ouvrez la porte.	Louvwi/louvri pòt la.	Buka pintu.	Abra a porta.	Открой дверь.	Abran la puerta.	Iko sakafuni	கதவைத் திறங்கள்.	มันอยู่บนพื้น	دروازہ کھولیں۔
It is on the floor.	إنـه عـلـى الأرضـيـة.	এটা মেঝের উপর	它在地上。	C'est sur le sol.	Li sou etajè a.	Ia berada di lantai.	Está no chão.	Он находится на полу.	Está en el suelo.	Ninahitaji kwenda shule	அது தரையில் கிடக்கிறது.	ฉันต้องไปโรงเรียน	یہ فرش پر ہے۔
I need to go to school.	أنـا بـحـاجـة لـلـذهـاب إلـى الـمـدرسـة.	আমার স্কুলে যাওয়া প্রয়োজন	我需要去学校。	Je dois aller à l'école.	Mwen bezwen ale lekòl.	Saya perlu ke sekolah.	Preciso ir para a escola.	Мне нужно в школу.	Necesito ir a la escuela.	Nilijua wewe umefanya	நான் பள்ளிக்கு செல்ல வேண்டும்.	ฉันรู้ว่าคุณเป็นคนทำ	مجھے اسکول جانا ہے۔
I knew you did it.	عَـلِـمـتُ أنـكَ فـعـلـتـهـا.	আমি জানতাম তুমি এটা করতে পারবে	我当时知道是你做的。	Je savais que tu l'avais fait.	Mwen te konen w' te fè l'.	Saya tahu awak berjaya.	Eu sabia que você tinha feito isso.	Я знал, что ты это сделал.	Sabía que tú lo hiciste.	Najua jinsi ya kufanya	நீங்கள் தான் அதை செய்தது என்று எனக்கு தெரியும்.	ฉันรู้วิธีที่จะทำ	میں جانتا تھا کہ تم نے یہ کیا۔
I know how to do it.	أعـلـمُ كـيـف أفـعـلـهـا.	এটা কিভাবে করতে হয় আমি জানি	我知道如何做。	Je sais comment faire.	Mwen konen kòman li fèt.	Saya tahu bagaimana untuk melakukannya.	Eu sei como fazer isso.	Я умею это делать.	Yo sé cómo hacerlo.	Ilijulikana nasi sote	அதை எப்படி செய்வது என்று எனக்குத் தெரியும்.	มันเป็นที่รู้จักของพวกเราทุกคน	میں جانتا / جانتی ہوں کہ اسے کیسے کرنا ہے۔
It was known by all of us.	كـان مـعــلـومٌ لـديـنـا جـمـيـعًـا.	আমাদের সবার এটা জানা ছিল	当时我们所有人都知道它。	Tout le monde le savait.	Nou tout te konen sa.	Perkara itu diketahui oleh kita semua.	Era conhecido por todos nós.	Все мы знали об этом.	Era sabido por todos nosotros.	Nani alifanya?	இது நம் அனைவருக்கும் தெரிந்திருந்தது.	ใครทำ?	یہ ہم سب جانتے تھے۔
Who did it?	مـن فـعـل هـذا؟	এইটা কে করেছে?	谁做的？	Qui l'a fait ?	Kiyès ki fè sa?	Siapa yang buat?	Quem fez isso?	Кто сделал это?	¿Quién lo hizo?	Alisema (mwanamke/msichana) nini?	யார் அதை செய்தது?	เธอพูดว่าอะไร	یہ کس نے کیا؟
What did she say?	مـاذا قـالـت؟	সে কি বললো?	她说了什么？	Qu'est-ce qu'elle a dit ?	Kisa l' te di?	Apakah yang dia katakan?	O que é que ela disse?	Что она сказала?	¿Qué dijo ella?	Ulienda wapi?	அவள் என்ன சொன்னாள்?	คุณไปไหน	اُس نے کیا کہا تھا؟
Where did you go?	أيـن ذهـبـت؟	তুমি কোথায় চলে গেলে?	你去了哪里？	Où es-tu allée ?	Ki kote w' t'ale?	Ke mana awak pergi?	Onde você foi?	Куда ты ушел?	¿Adónde fuiste?	Tutarudi lini?	நீங்கள் எங்கு போனீர்கள்?	เมื่อไหร่เราจะกลับมา?	آپ کہاں گئے تھے / گئی تھیں؟
When will we get back?	مـتـى سـوف نـعـود؟	আমরা কবে ফিরব?	我们什么时候会回去？	Quand est-ce qu'on reviendra ?	Kilè n'ap tounen?	Bilakah kita akan kembali?	Quando voltaremos?	Когда мы вернемся?	¿Cuándo estaremos de vuelta?	Kwanini alifanya (mwanaume / mvulana) ?	நாம் எப்போது திரும்ப வருவோம்?	ทำไมเขาถึงทำอย่างนั้น?	ہم کب واپس آئیں گے؟
Why did he do it?	لـمـاذا فـعـل هـذا؟	সে এইটা কেন করল?	他为什么那样做？	Pourquoi a-t-il fait ça ?	Poukisa te fè sa?	Mengapa dia melakukannya?	Por que ele fez isso?	Зачем он это сделал?	¿Por qué lo hizo?	Nani kati yenu alifanya ?	அவர் ஏன் அதை செய்தார்?	คุณทำแบบไหน	اُس نے ایسا کیوں کیا؟
Which one of you did it?	مـن مـنـكـمـا فـعـل هـذا؟	তোমাদের মধ্যে এটা কে করেছে?	你们当中哪一个做的？	Lequel d'entre vous l'a fait ?	Kiyès nan nou ki te fè sa?	Mana antara anda yang melakukannya?	Qual de vocês fez isso?	Кто из вас сделал это?	¿Quién de ustedes lo hizo?	Amevalia shati jeupe	உங்களில் யார் இதை செய்தது?	เขามีเสื้อเชิ้ตสีขาว	آپ میں سے کس نے یہ کیا؟
He has a white shirt on.	إنـهُ يرتدي قميص أبيض.	সেটি সাদা জামা পরিধান করে আছে	他穿着一件白衬衫。	Il porte une chemise blanche.	Li gen yon chemiz blan sou li.	Dia memakai baju putih.	Ele está de camisa branca.	На нем белая рубашка.	Lleva puesta una camisa blanca.	Nilikula chote mwenyewe	அவர் ஒரு வெள்ளை சட்டை அணிந்துள்ளார்.	ฉันกินทุกสิ่งด้วยตัวเอง	اُس نے سفید قمیض پہنی ہوئی ہے۔
I ate the whole thing myself.	لـقـد أكـلـتُـهـا كـلـهـا بـذاتـي.	সম্পূর্ণ আমি নিজে খেয়েছি	我一个人全部吃完了。	J'ai tout mangé moi-même.	 Mwen manje tout bagay la pou-kont mwen	Saya makan semuanya sendiri.	Eu mesmo comi tudo.	Я сам все съел.	Yo solo me comí todo.	Nilisema yeye (mwanaume / mvulana) alifanya	நானே அதை முழுவதும் சாப்பிட்டேன்.	ฉันบอกว่าเขาทำ	میں نے ساری چیز خود کھائی۔
I said he did it.	أنـا قـولـت أنـهُ فـعـل هـذا.	আমি বলেছি সেটা করেছে	我说了是他做的。	Je dis qu'il l'a fait.	Mwen te di l' fè l'.	Saya katakan dia akan berjaya.	Eu disse que foi ele.	Я сказал, что он это сделал.	Dije que él lo hizo.	Alisema wewe ulifanya	அதை செய்தது அவர் என்று நான் கூறினேன்.	เธอบอกว่าคุณทำมัน	میں نے کہا کہ اُس نے یہ کیا تھا۔
She says you did it.	لـقـد قـالـت أنـكَ مـن فـعـلـت هـذا.	সে বলল তুমি এটা করেছ	她说是你做的。	Elle dit que c'est toi.	Li di w' te fè l'.	Dia mengatakan bahawa anda berjaya.	Ela disse que foi você.	Она говорит, что это сделала ты.	Ella dice que tú lo hiciste.	Nenda ndani ya shule	அதை செய்தது நீங்கள் என்று அவள் கூறுகிறாள்.	เข้าไปโรงเรียน	وہ کہتی ہے یہ تم نے کیا تھا۔
Go into the school.	اذهب إلى المدرسة.	স্কুলে যাও	进学校里去。	Va dans l'école.	Antre nan lekòl la.	Masuk sekolah.	Vá para a escola.	Иди в школу.	Entra a la escuela.	Ni kawaida yako kufanya hivyo?	பள்ளிக்கு உள்ளே செல்லுங்கள்.	คุณทำอย่างนั้นบ่อยไหม?	سکول میں جائیں۔
Do you do that often?	هـل تـفـعـل ذلـك فـى بـعـض الأحـيـان؟	তুমি কি এটা প্রায় করো	你经常这么做吗？	Tu fais ça souvent ?	Èske w' fè sa a souvan?	Adakah anda sering melakukannya?	Você faz isso muitas vezes?	Ты часто это делаешь?	¿Haces eso frecuentemente?	Iliandikwa kwa kiingereza	நீங்கள் அதை அடிக்கடி செய்கிறீர்களா?	มันเขียนเป็นภาษาอังกฤษ	کیا آپ اکثر ایسا کرتے ہیں؟
It was written in English.	لـقـد كُـتِـبَـتْ بـالإنـجـلـيـزيـة.	এটা ইংরেজিতে লেখা ছিল	它是用英语写的。	C'était écrit en anglais.	Li te ekri nan lang Angle.	Ia ditulis dalam bahasa Inggeris.	Estava escrito em inglês.	Написано на английском.	Estaba escrito en inglés.	Iliandikwa kwa kiingereza	அது ஆங்கிலத்தில் எழுதப்பட்டுள்ளது.	มันเขียนเป็นภาษาอังกฤษ	یہ انگریزی میں لکھا گیا تھا۔
He did it again.	لـقـد فـعـلـهـا مـرةً أخـرى.	সেইটা আবার করেছে	他又做了一次。	Il l'a encore fait.	Li te fè l' ankò.	Dia melakukannya lagi.	Ele fez de novo.	Он сделал это снова.	Él lo hizo otra vez.	Usiteme mate kwenye upepo	அவர் மீண்டும் அதை செய்துள்ளார்.	อย่าคายกับลม	اس نے پھر  سے یہ کیا۔
Do not spit against the wind.	لا تبصق ضد الريح.	নিয়মের বিরুদ্ধে যেও না	别做自埋坟墓的事。	Ne crache pas contre le vent.	Pa krache kont van/ pa krache nan van.	Jangan meludah angin.	Não cuspa contra o vento.	Не плевать против ветра.	No escupas al viento.	Nenda hapo / pale / kule badala ya hapa	எதிர் காற்றில் எச்சில் உமிழாதீர்கள்.	ไปที่นั่นแทนที่นี่	ہوا کے مخالف مت تھوکیں۔
Go there instead of here.	أذهـب هـنـاك بـدلاً مـن هـنـا.	এখানের বদলে সেখানে যাও	去那边，不要来这边。	Va là-bas au lieu d'ici.	Ale la olye w' al la.	Pergi ke sana bukannya di sini.	Vá lá em vez de aqui.	Иди туда, а не сюда.	Ve allá en vez de aquí.	Nimejifunza maneno mawili mapya leo	இங்கே செல்வதற்கு பதிலாக அங்கே செல்லுங்கள்.	ฉันเรียนสองคำใหม่วันนี้	یہاں کی بجائے وہاں جائیں۔
I learned two new words today.	لـقـد تـعـلـمـتُ الـيـوم كـلـمـتـان جـديـدتـان.	আমি আজকে দুইটি নতুন শব্দ শিখেছি	我今天学了两个新单词。	J'ai appris deux nouveaux mots aujourd'hui.	M'aprann de (2) nouvo mo jodi a.	Saya belajar dua perkataan baru hari ini.	Aprendi duas palavras novas hoje.	Сегодня я выучил два новых слова.	Hoy aprendí dos nuevas palabras.	Nimejifunza maneno mawili mapya leo	நான் இன்று இரண்டு புதிய சொற்களை கற்றுக்கொண்டேன்.	ฉันเรียนสองคำใหม่วันนี้	آج میں نے دو نئے الفاظ سیکھے۔
Tell me the answer.	أخـبـرنـي بـالإجـابـة.	আমাকে উত্তরটি বল	告诉我答案。	Dis-moi la réponse.	Ban m repons lan.	Beritahu saya jawapannya.	Diga-me a resposta.	Скажи мне ответ.	Dime la respuesta.	Nampenda baba yangu	எனக்கு பதில் சொல்லுங்கள்.	ฉันชอบพ่อของฉัน	مجھے جواب بتائیں۔
I like my father.	أنـا أُحـب والـدي.	আমি আমার বাবাকে পছন্দ করি	我喜欢我爸爸。	J'aime mon père.	Mwen renmen papa.	Saya suka ayah saya.	Eu gosto do meu pai.	Я люблю своего отца.	Yo quiero a mi padre.	Nikimbilie	எனக்கு என் அப்பாவை பிடிக்கும்.	วิ่งเข้าหาฉัน	میں اپنے والد کو پسند کرتا / کرتی ہوں۔
Run toward me.	أُركُّـضْ نـحـوي.	আমার সাথে দৌড়াও	朝我跑过来。	Cours vers moi.	Kouri vin jwen mwen.	Lari ke arah saya.	Corra em minha direção.	Беги ко мне.	Corre hacia mí.	Kunywa maji moto	என்னை நோக்கி ஓடி வாருங்கள்.	ดื่มน้ำร้อน	میری طرف دوڑیں۔
Drink hot water.	أحـتـسـي الـمـاء الـسـاخـن.	গরম পানি পান করো	喝热水。	Bois de l'eau chaude.	Bwè dlo cho.	Minum air panas.	Beba água quente.	Пейте горячую воду.	Toma agua caliente.	Sijui kama nifanye au la	சூடான தண்ணீர் குடிக்கவும்.	ฉันไม่รู้ว่าจะทำหรือไม่	گرم پانی پیئیں۔
I don’t know whether to do it or not.	لا أعلم ما إذا كنت سأفعل ذلك أم لا.	আমি জানিনা এটা করা  উচিত কি না	我知道要不要做。	Je ne sais pas si je dois le faire ou pas.	Mwen pa konen si m' dwe fè l' oubyen non.	Saya tidak tahu sama ada mahu melakukannya atau tidak.	Não sei se faço isso ou não.	Не знаю, делать это или нет.	No sé si hacerlo o no.	Una ngapi?	அதை செய்யலாமா வேண்டாமா என்று எனக்குத் தெரியவில்லை.	คุณมีเท่าไหร่?	مجھے نہیں معلوم کہ یہ کرنا چاہیئے  یا نہیں۔
This bag is very heavy.	هـذه الـحـقـيـبـة ثـقـيـلـة لـلـغـايـة.	থলেটি অনেক ভারী	你有多少？	Ce sac est très lourd.	Valiz sa a lou anpil.	Beg ini sangat berat.	Esta bolsa é muito pesada.	Эта сумка очень тяжелая.	Esta bolsa está muy pesada.	Naamka mapema sana	உங்களிடம் எவ்வளவு உள்ளது?	ฉันตื่น แต่เช้า	آپ کے پاس کتنے ہیں؟
How many do you have?	كم لديك؟	তোমার কাছে কতগুলো আছে	我很早起床。	Tu en as combien ?	Konbyen w' genyen?	Berapa banyak yang anda miliki?	Quantos você tem?	Сколько у тебя?	¿Cuántos tienes?	Hili begi ni zito sana	நான் அதிகாலையில் எழுகிறேன்.	กระเป๋าใบนี้หนักมาก	میں بہت جلدی اٹھتا / اُٹھتی ہوں۔
I get up very early.	أنـا أسـتـيـقـظ مـبـكـرًا جـدًا.	আমি অনেক সকাল এ উঠি	这个包太沉重。	Je me lève très tôt.	Mwen leve byen bonè.	Saya bangun awal.	Eu me levantei muito cedo.	Я очень рано встаю.	Yo me levanto bien temprano.	Hili begi ni zito sana	இந்த பை மிகக் கனமாக உள்ளது.	กระเป๋าใบนี้หนักมาก	میں بہت جلدی اٹھتا / اُٹھتی ہوں۔
Are you ready to go?	هـل أنـتً جـاهـزٌ لـلـذهـاب؟	তুমি কি যাওয়ার জন্য প্রস্তুত?	你准备好出发了吗？	Tu es prêt à partir ?	Èske w' pare pou w' ale?	Adakah anda bersedia untuk pergi?	Você está pronto para ir?	Ты готов идти?	¿Estás listo para ir?	Nilisogeza kiti	நீங்கள் கிளம்பத் தயாரா?	ฉันขยับเก้าอี้	کیا اپ جانے کے لئے تیار ھیں؟
I moved the chair.	لـقـد حـركـتُ الـمـقـعـد.	আমি চেয়ারটি সরিয়েছি	我移动了凳子。	J'ai déplacé la chaise.	Mwen te deplase chèz la.	Saya menggerakkan kerusi.	Eu movi a cadeira.	Я передвинул стул.	Yo moví la silla.	Nipige picha	நான் நாற்காலியை நகர்த்தினேன்.	ถ่ายรูปของฉัน	میں نے کرسی منتقل کی۔
Take my picture.	خـذ صـورتـي.	আমার ছবি তোল	带上我的照片。	Prends-moi en photo.	Pran foto m'.	Ambil gambar saya.	Tire minha foto.	Сфотографируй меня.	Tómame una foto.	Kilikua chakula maalumu	என் படத்தை எடுங்கள்.	มันเป็นมื้อพิเศษ	میری تصویر لیں۔
It was a special meal.	لـقـد كـانـت وجـبـة مـمـيـزة.	এটা বিশেষ খাবার ছিল	那是一顿特别的饭。	C'était un repas spécial.	Se te yon manje (pla) espesyal.	Ia adalah makanan istimewa.	Foi uma refeição especial.	Это была особенная еда.	Fue una cena especial.	Una maswali yoyote ?	இது ஒரு சிறப்பு உணவு.	คุณมีคำถามหรือไม่?	یہ ایک خاص کھانا تھا۔
Do you have any questions?	هـل لـديـكَ أي أسـئـلة؟	তোমার কি কোন প্রশ্ন আছে?	你有任何问题吗？	Vous avez des questions ?	Èske w' gen kesyon?	Anda ada pertanyaan?	Você tem alguma pergunta?	У тебя есть вопросы?	¿Tienen alguna pregunta?	Unapenda chakula cha kihindi?	உங்களுக்கு ஏதேனும் கேள்விகள் உள்ளனவா?	คุณชอบอาหารอินเดียหรือไม่	کیا آپ کے کوئی سوالات ہیں؟
Do you like Indian food?	هـل تُـحِـبْ الـطـعـام الـهـنـدي؟	তুমি কি ভারতীয় খাবার পছন্দ করো?	你喜欢印度菜吗？	Vous aimez la nourriture indienne ?	Èske w' renmen manje Endyen food?	Adakah anda suka makanan India?	Você gosta de comida indiana?	Ты любишь индийскую кухню?	¿Te gusta la comida india?	Wahindi wawili wanamiliki hiyo / ile stoo	உங்களுக்கு இந்திய உணவு பிடித்துள்ளதா?	ชาวอินเดียสองคนเป็นเจ้าของร้านค้า	کیا آپ ہندوستانی کھانا پسند کرتے ہیں؟
Two Indians own the store.	يـمـتـلـك الـمـتـجـر أثـنـيـن مـن الـهـنـود.	দোকানটি দুইজন ভারতীয়র	两个印度人拥有那家商店。	Deux Indiens possèdent le magasin.	De (2) Endyen ki met boutik la.	Dua orang India memiliki kedai.	Dois índios são donos da loja.	Магазином владеют два индейца.	Dos indios son dueños de la tienda.	Nimekwisha lipia	இந்த கடை இரு இந்தியர்களுக்கு சொந்தமானது.	ฉันจ่ายไปแล้ว	دو ہندوستانی اس دکان کے مالک ہیں۔
I already paid for it.	لـقـد دفـعـت بالـفـعـل مـقـابـل ذلك.	আমি এটার জন্য ইতিমধ্যে পরিশোধ করেছি	我已经为它服了钱。	Je l'ai déjà payé.	Mwen deja peye pou li.	Saya sudah membayarnya.	Eu já paguei por isso.	Я уже заплатил за это.	Yo ya pagué eso.	Unataka kingine chochote ?	நான் ஏற்கனவே அதற்கு பணம் செலுத்திவிட்டேன்.	คุณต้องการอะไรอีกไหม?	میں پہلے ہی سے اس کی ادائیگی کر چکا /چکی ہوں۔
Do you want anything else?	هـل تُـريـد شـيـئـًا آخـر؟	তুমি কি অন্য কিছু চাও?	你还想要点其他的吗？	Voulez-vous autre chose ?	Èske w' vle yon lòt bagay?	Adakah anda mahukan perkara lain?	Você quer mais alguma coisa?	Ты хочешь что-нибудь еще?	¿Quieres algo más?	Viweke pamoja	உங்களுக்கு வேறு ஏதாவது வேண்டுமா?	นำมารวมกันเป็นถุงเดียว	کیا آپ کو اور بھی کچھ چاہیئے؟
Write these sentences.	أُكـتـب هـذه الـجُـمَـلْ؟	এই গুলো বাক্য লেখ	把它们用一个袋子装一起。	Écris ces phrases.	ekri fraz sa a yo.	Tuliskan ayat-ayat ini.	Escreva essas frases.	Напиши эти предложения.	Pon todo junto en una bolsa solamente.	Kila mtu yuko kwenye sherehe	அவற்றை ஒன்றாக ஒரு பையில் போடுங்கள்.	ทุกคนอยู่ในงานปาร์ตี้	یہ جملے لکھیں۔
Put them together into one bag.	ضـعـهـم سـويـًا فـى حـقـيـبـة واحـدة.	থলিটির মধ্যে এই গুলো একত্রে রাখো	大家都在派对上。	Mettez-les ensemble dans un sac.	Mete yo ansanm nan yon sèl valiz.	Masukkan keduanya ke dalam satu beg.	Coloque-os juntos em um saco.	Сложи их в один пакет.	Todos están en la fiesta.	Nitatembelea marekani.	அனைவரும் விருந்தில் உள்ளனர்.	ฉันจะไปอเมริกา	انہیں ایک ساتھ ایک بیگ میں ڈالیں۔
Everyone is at the party.	إن الـجـمـيـع فـى الـحـفـلـة.	সবাই পার্টিতে	我会去美国旅游。	Tout le monde est à la fête.	Tout moun nan fèt la.	Semua orang berada di pesta tersebut.	Todo mundo está na festa.	Все на вечеринке.	Yo voy a visitar América.	Napenda vyakula vya marekani.	நான் அமெரிக்காவிற்கு வருகை புரிவேன்.	ฉันชอบอาหารอเมริกัน	ہر کوئی دعوت میں ہے۔
I will visit America.	إنـنـي سـوف أزور أمـريـكـا.	আমি আমেরিকা দর্শন করব	我喜欢美国菜。	Je vais visiter l'Amérique.	Mwen pral visite Etazini (Amerik)	Saya akan melawat Amerika.	Visitarei a América.	Я поеду в Америку.	A mí me gusta la comida americana.	Andika hizi sentensi	எனக்கு அமெரிக்க உணவு பிடிக்கும்.	เขียนประโยคเหล่านี้	میں امریکہ کا دورہ کروں گا / گی۔
I like American food.	أنـا أُحـب الـطـعـام الأمـريـكـي.	আমি আমেরিকান খাবার পছন্দ করি	写这些句子。	J'aime la nourriture américaine.	Mwen renmen manje Ameriken.	Saya suka makanan Amerika.	Eu gosto de comida americana.	Я люблю американскую кухню.	Escriban estas oraciones.	Mimi ni mkubwa kama yeye / yule (mwanaume / mvulana)	இந்த வாக்கியங்களை எழுதுங்கள்.	ฉันใหญ่เท่าเขา	مجھے امریکی کھانا پسند ہے۔
I am as big as him.	أنـا كــبـيـر مـثـلـهُ.	আমি তার মতো বিশাল	我和他一样高大。	Je suis aussi grand que lui.	Mwen gran tankou l'.	Saya sebesar dia.	Sou tão grande quanto ele.	Я такой же большой, как он.	Yo soy tan grande como él.	Yeye / yule (mwanaume / mvulana) ni mkubwa	நான் அவர் அளவிற்கு பெரியவன்.	เขาตัวใหญ่	میں اس کی طرح بڑا / بڑی ہوں۔
He is big. 	إنـهُ كــبـيـر.	সে বিশাল	他还很高大。	Il est grand. 	Li gwo.	Dia besar.	Ele é grande.	Он большой.	Él es grande.	Anayo (mwanaume / mvulana ) moja	வர் பெரிதாக உள்ளார்	เขามีหนึ่ง	وہ بڑا ہے۔
He has one.	إنـهُ لـديـهِ واحـدة.	তার একটা আছে	他有一个。	Il en a un.	Li gen youn.	Dia mempunyai satu.	Ele tem um.	У него есть один.	Él tiene uno	Hii ni kofia yake	அவரிடம் ஒன்று உள்ளது.	นี่คือหมวกของเขา	اُس کے پاس ایک ہے۔
This is his hat.	إن هـذه قُـبـعَـتـَـهُ.	এটা তার টুপি	这是他的帽子。	C'est son chapeau.	Sa a se chapo li.	Ini adalah topinya.	Este é o chapéu dele.	Это его шляпа.	Este es su sombrero.	Tumia kalamu yangu	இது அவரது தொப்பி.	ใช้ปากกาของฉัน	یہ اُس کی ٹوپی ہے۔
Use my pen.	إسـتـخـدم قـلـمـي.	আমার কলম ব্যবহার করো	用我的笔。	Utilise mon stylo.	Itilize plim mwen an.	Gunakan pen saya.	Use minha caneta.	Воспользуйся моей ручкой.	Usa mi lapicero.	Napenda miti	என் பேனாவைப் பயன்படுத்துங்கள்.	ฉันชอบต้นไม้	میرا قلم استعمال کریں۔
I like trees.	أنـا أُحـب الأشـجـار.	আমি গাছ পছন্দ করি	我喜欢树。	J'aime les arbres.	Mwen renmen pye bwa.	Saya suka pokok.	Eu gosto de árvores.	Я люблю деревья.	Me gustan los árboles.	Nilikimbia maili tano	நான் மரங்களை விரும்புகிறேன்.	ฉันวิ่งห้าไมล์	مجھے درخت پسند ہیں۔
I ran five miles.	لـقـد ركـضـتُ خـمـسـةُ أمـيـال.	আমি পাঁচ মাইল দৌড়েছি	我跑了英里。	J'ai couru 8 km.	Mwen te kouri 5  mileyaj.	Saya berlari sejauh lima batu.	Corri 8 km.	Я пробежал пять миль.	Yo corrí cinco millas.	Alifanya mara ngapi?	நான் ஐந்து மைல்கள் ஓடினேன்.	เขาทำไปกี่ครั้งแล้ว	میں پانچ میل بھاگی / بھاگی۔
How many times did he do it?	كـم مرة فعل ذلك؟	কত সময়ের মধ্যে সেটা করেছে?	他做过几次？	Combien de fois l'a-t-il fait ?	Nan konbyen tan l' te fè sa?	Berapa kali dia melakukannya?	Quantas vezes ele fez isso?	Сколько раз он это делал?	¿Cuántas veces lo hizo?	Ifanye mistari ilingane	அவர் எத்தனை முறை இதைச் செய்தார்?	ทำให้เส้นสม่ำเสมอ	اس نے کتنی مرتبہ ایسا کیا؟
Make the lines even.	إجـعـل الـخـطـوط مـتـسـاويـة.	লাইনগুলো সমান করো	让这些线条一样长。	Fais des lignes droites.	Fè liy yo egal.	Jadikan garis sama.	Faça as linhas empatadas.	Сделай линии ровными.	Empareja esas líneas.	Inamaanisha wewe umeshinda	கோடுகளை சமமாகபோடுங்கள்.	นั่นหมายความว่าคุณชนะ!	لکیروں کو یکساں بنائیں۔
That means you win!	هـذا يـعـنـي أنـكَ فُـزت.	তারমানে তুমি জিতেছো	那意味着你赢了。	Ça veut dire que tu as gagné !	Sa a vle di w' genyen!	Ini bermakna anda menang!	Isso significa que você ganhou!	Значит, ты выиграл!	¡Eso significa que ganaste!	Inaanza ndani ya siku mbili	அதற்கு நீங்கள் வெற்றியடைந்து விட்டீர்கள் என்று பொருள்!	มันเริ่มในอีกสองวัน	اس کا مطلب ہے کہ آپ جیت گئے / گئی!
